COMID,Region,BFS_All,BFS_West,BFS_East,HUC8,ElevCat,ClayCat,SandCat,RckDepCat,Divergence,Slope,Confinement,TotDASqKM
18042376,East,1,0,1,8030202,88.5754,16.3051,8.8521,152.4,0,0.0040586,1,11.871
18042296,East,1,0,1,8030202,87.338,17.5798,7.6638,152.4,0,0.00044045,1,53.8722
19105585,East,1,0,1,8060206,45.3953,23.3875,22.6435,152.4,0,0.00112373,1,41.8806
19105637,East,1,0,1,8060206,80.8247,20.1472,19.453,152.4,0,0.00187746,1,69.3324
19105479,East,1,0,1,8060206,82.2041,23.5947,21.9119,152.4,0,0.0069708,3,55.233
19105519,East,1,0,1,-9999,21.0543,47.6593,5.5604,152.4,0,0.00001,1,-9999
19107762,East,1,0,1,8060205,117.2201,15.4,15.7558,152.4,0,0.00127101,1,99.6417
19107740,East,1,0,1,8060205,133.6683,20.51,29.0012,152.4,0,0.00260355,1,14.3028
19105313,East,1,0,1,8060206,71.5003,23.7485,23.0788,152.4,0,0.00205234,1,37.2375
19105219,East,1,0,1,8060206,79.3816,18.7147,17.4586,152.4,0,0.00277209,1,83.0844
19105213,East,1,0,1,8060206,63.9008,22.8307,22.0302,152.4,0,0.0021096,1,23.868
19105459,East,1,0,1,8060206,85.9674,18.0945,17.7624,152.4,0,0.001048,3,47.3157
19105439,East,1,0,1,8060206,87.9183,23.848,23.197,152.4,0,0.00410267,1,14.4162
19105393,East,1,0,1,-9999,72.3063,24.0442,22.7296,152.4,0,0.00107382,1,-9999
19105379,East,1,0,1,8060206,73.9927,19.8528,18.7349,152.4,0,0.0018736,1,105.0831
19105369,East,1,0,1,8060206,86.0997,24.06,23.55,152.4,0,0.00142964,1,16.9209
19105399,East,1,0,1,8060206,89.0786,24.06,23.55,152.4,0,0.00168211,1,19.3743
19107900,East,1,0,1,8060205,130.6496,20.4127,30.1355,152.4,0,0.00177917,1,23.2029
19107904,East,1,0,1,8060205,96.6517,20.41,26.3962,152.4,0,0.01004524,2,222.1236
19107896,East,1,0,1,8060205,97.0048,20.3137,25.1089,152.4,0,0.00001,3,217.8072
19105189,East,1,0,1,8060206,92.3331,21.4135,20.4421,152.4,0,0.003,1,64.8
19053722,East,1,0,1,8070201,25.0939,15.5175,23.6029,152.0229,0,0.0005909,1,646.0578
19053720,East,1,0,1,8070201,22.6443,12.1058,34.2954,152.2105,0,0.00001,1,647.9649
19053314,East,1,0,1,8070201,18.6259,10.6857,35.9171,152.4,0,0.00197437,1,23.8626
19053610,East,1,0,1,8070201,29.5535,14.1491,27.6676,152.312,0,0.00056055,1,584.6319
19053586,East,1,0,1,-9999,47.459,17.4784,28.791,152.4,0,0.00141484,3,-9999
19104987,East,1,0,1,-9999,35.35,20.3175,18.8465,152.4,0,0.00124791,1,-9999
19105027,East,1,0,1,8060206,104.5431,24.06,23.55,152.4,0,0.00299134,1,18.9702
19104933,East,1,0,1,8060206,53.3955,24.06,23.3965,152.4,0,0.00553217,1,11.4786
19104945,East,1,0,1,8060206,38.9525,16.2059,15.2201,152.4,0,0.00001,1,360.7551
19104931,East,1,0,1,8060206,55.5717,24.06,23.55,152.4,0,0.00469428,1,12.2634
19104943,East,1,0,1,8060206,45.9483,21.5023,20.0018,152.4,0,0.00059143,1,369.2502
19105181,East,1,0,1,8060206,67.3518,24.06,21.4959,152.4,0,0.00131578,1,75.0141
19105079,East,1,0,1,8060206,49.002,24.06,23.55,152.4,0,0.00204661,1,44.8263
19104913,East,1,0,1,-9999,50.1824,21.0957,19.9196,152.4,0,0.000332,1,-9999
19104871,East,1,0,1,8060206,30.755,12.7752,10.1352,152.4,0,0.00001,1,532.9044
19110856,East,1,0,1,-9999,45.2693,15.4,16.8228,152.4,0,0.00243027,1,-9999
19110636,East,1,0,1,8060205,73.5866,17.8812,24.4801,152.4,0,0.00001,1,118.1844
19110658,East,1,0,1,8060205,60.1799,17.2821,17.8227,152.4,0,0.0015981,1,80.5041
19110654,East,1,0,1,8060205,59.8291,19.207,19.2883,152.4,0,0.00148936,1,87.9723
19110582,East,1,0,1,8060205,59.0061,23.8839,21.5971,152.4,0,0.00274967,1,19.6506
19110808,East,1,0,1,8060205,86.1799,21.8765,35.3648,152.4,0,0.00126738,1,404.217
19110688,East,1,0,1,8060205,62.9558,16.2518,16.2282,152.4,0,0.00104525,1,1066.956
19112194,East,1,0,1,-9999,33.9402,16.2792,7.3487,152.4,0,0.00194955,1,-9999
19112380,East,1,0,1,8060205,60.9195,21.6159,21.0983,152.4,0,0.01034435,1,1.5147
19112082,East,1,0,1,8060205,47.2909,19.0675,10.9686,152.4,0,0.00162852,2,45.882
19108588,East,1,0,1,8060205,121.5029,20.4275,28.7607,152.4,0,0.00859456,1,5.9715
19108564,East,1,0,1,8060205,94.3546,19.5729,15.4597,152.4,0,0.0057536,1,22.0671
19108560,East,1,0,1,-9999,108.7631,18.4751,22.3067,152.4,0,0.00290647,2,-9999
19110514,East,1,0,1,8060205,60.7981,23.3252,22.528,152.4,0,0.00076212,1,103.8393
19110436,East,1,0,1,-9999,61.0683,22.1826,21.7868,152.4,0,0.00128988,1,-9999
19110208,East,1,0,1,8060205,118.2737,20.0888,28.8352,152.4,0,0.00952746,1,2.5686
19110244,East,1,0,1,-9999,101.8886,20.0566,28.8492,152.4,0,0.00279026,1,-9999
19052514,East,1,0,1,8070201,76.5632,19.5566,11.1728,152.4,0,0.00340929,1,9.4275
19052620,East,1,0,1,8070201,67.816,19.56,6.0383,152.4,0,0.00177456,1,51.6312
19052644,East,1,0,1,8070201,70.6931,13.8613,34.5445,152.4,0,0.00110535,1,71.7363
19051862,East,1,0,1,8070201,68.7196,22.14,34.61,152.4,0,0.00298989,1,45.5427
19053148,East,1,0,1,-9999,33.6505,15.4769,28.1248,152.4,0,0.001148,2,-9999
19053012,East,1,0,1,8070201,55.395,20.1171,26.8768,152.4,0,0.00292912,1,35.7498
19053270,East,1,0,1,8070201,46.561,19.4017,11.1205,152.3585,0,0.00331514,1,14.4423
19053262,East,1,0,1,8070201,49.1504,17.8742,15.9057,152.4,0,0.00992506,2,1.7046
19053182,East,1,0,1,8070201,37.0729,10.62,38.9092,152.4,0,0.00251723,1,27.4122
19052760,East,1,0,1,8070201,50.3254,22.14,35.8902,152.4,0,0.00311594,1,82.3689
